"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2","eids-badge__description","eids-badge__label","he-lazy-image src 3"
"https://www.hepsiemlak.com/kayseri-kocasinan-yakut-kiralik/daire/150039-5","35","20.000","31-12-2024","4 +
                          1","180 m²","5
                        Yaşında","9. Kat","Yakut Mah. Kasrı Arvende Kiralık 4+1 Daire","Kayseri / Kocasinan / Yakut Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/9/6/8/8/6/3/4/ff3f6d3f-e9ce-4713-8ba2-7e1d6d174e25.jpeg","","","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-ugurevler-kiralik/daire/124673-281","25","15.000","31-12-2024","3 +
                          1","155 m²","5
                        Yaşında","5. Kat","Uğurevler Tkn Gardenia'da Kapalı Otoparklı Kiralık Lüks Daire","Kayseri / Kocasinan / Uğurevler Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/2/2/3/8/3/4/e850f4e0-3c1f-4144-a94d-24364ca4dfe0.jpeg","","","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-ertugrul-gazi-kiralik/daire/125419-171","20","13.500","02-01-2025","3 +
                          1","175 m²","10
                        Yaşında","5. Kat","Erkilet Ertuğrulgazi Mahallesinde Kiralık Daire","Kayseri / Kocasinan / Ertuğrul Gazi Mah.","https://www.hepsiemlak.com/emlak-ofisi/selcuklu-emlak-125419/aydin-karakocluoglu-3005224","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/0/8/0/6/3/4/1729963009-8957582-43608048.jpeg","Selçuklu Emlak","","","","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/4/2/2/5/0/0/3/855b6bae-8e5d-4a19-9566-67dff8147ce0.jpg"
"https://www.hepsiemlak.com/kayseri-talas-mevlana-kiralik/daire/112759-619","11","9.000","31-12-2024","3 +
                          1","135 m²","16
                        Yaşında","8. Kat","Öğrenciye Aileye Uygun Kiralik Daire","Kayseri / Talas / Mevlana Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/6/3/6/5/9/3/4/87ed0912-ca5f-49c5-aad5-11b2df109bb7.jpeg","","","","",""
"https://www.hepsiemlak.com/kayseri-talas-yenidogan-kiralik/daire/60779-4035","17","6.000","31-12-2024","3 +
                          1","120 m²","25
                        Yaşında","1. Kat","Talas Merkezde Yenidoğan Mah. 3+1 Sobalı Kiralık Daire 156/3","Kayseri / Talas / Yenidoğan Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/6/6/8/4/9/3/4/75fb1d5e-869f-4461-b935-bb25e133ebb4.jpg","","","","",""
"https://www.hepsiemlak.com/kayseri-melikgazi-bahcelievler-kiralik/daire/117916-1687","18","13.000","31-12-2024","3 +
                          1","150 m²","5
                        Yaşında","3. Kat","Alkayalar Emlak'tan Kiralık Serkent Esnaf Toki'de 3+1 Daire","Kayseri / Melikgazi / Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/alkayalar-emlak-117916","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/5/8/5/0/9/3/4/cd6c1d0e-6314-47e0-9cbe-2a8c598aacee.jpeg","Alkayalar Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/1/9/7/1/1/c469cd31-dfaf-41e1-b8d9-e56ba686758b.jpg","","",""
"https://www.hepsiemlak.com/kayseri-melikgazi-gesi-fatih-kiralik/daire/122596-1180","18","14.500","31-12-2024","3 +
                          1","145 m²","11
                        Yaşında","13. Kat","Marvelden Avm Yanında C Dairesi Boş 3+1 Kiralık Daire","Kayseri / Melikgazi / Gesi Fatih Mah.","https://www.hepsiemlak.com/emlak-ofisi/marvel-gayrimenkul-122596","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/2/1/8/8/3/4/f546a914-bb8d-4706-a132-4e74d01365b9.jpeg","Marvel Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/9/5/2/2/1/39f37a4a-5a11-4065-92c7-b7a30037b5d0.jpg","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-seker-kiralik/daire/129301-748","22","13.000","31-12-2024","2 +
                          1","90 m²","Sıfır Bina","5. Kat","Maxbir'den Şehir Hastanesinin Karşısında Sıfır Kiralık Daire","Kayseri / Kocasinan / Şeker Mah.","https://www.hepsiemlak.com/emlak-ofisi/maxbir-premium-129301","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/8/9/5/0/9/3/4/785895f6-9e91-43b6-a4a0-6eb0631c9031.jpeg","Maxbir Premium","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/0/3/9/2/1/943e1d8d-496f-4478-adf0-3ceb45e34514.jpg","","",""
"https://www.hepsiemlak.com/kayseri-talas-mevlana-kiralik/daire/144566-102","20","17.000","31-12-2024","2 +
                          1","125 m²","2
                        Yaşında","1. Kat","Talas Mevlana Eşyalı Kiralık 2,5+1 Daire","Kayseri / Talas / Mevlana Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/3/0/5/6/8/3/4/9373826a-a087-4989-a6df-02854a40f315.jpeg","","","","",""
"https://www.hepsiemlak.com/kayseri-talas-mevlana-kiralik/daire/141363-264","27","11.500","31-12-2024","3 +
                          1","175 m²","14
                        Yaşında","En Üst Kat","Big/max Gold Güvencesiyle Kınaş Anaşehir'de Kiralık Daire","Kayseri / Talas / Mevlana Mah.","https://www.hepsiemlak.com/emlak-ofisi/big-max-gold-141363","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/6/7/0/3/8/3/4/ce89e0ae-827c-408e-8c25-da2b7c9624b3.jpg","Big Max Gold","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/6/3/1/4/1/9f49c017-88ce-4b1e-954d-8332bd1604cb.jpg","","",""
